RegionCode	RegionName	RegionNameLang	CreationDateTime	RevisionNumber	ModificationDateTime	Modification
EA	East Anglia		2006-01-25T07:54:31	0	2006-01-25T07:54:31	
EM	East Midlands		2006-01-25T07:54:31	0	2006-01-25T07:54:31	
GB	Great Britain		2008-02-07T16:03:40	0	2008-02-07T16:03:46	
L	London		2006-01-25T07:54:31	0	2006-01-25T07:54:31	
NE	North East		2006-01-25T07:54:31	0	2006-01-25T07:54:31	
NW	North West		2006-01-25T07:54:31	0	2006-01-25T07:54:31	
S	Scotland		2006-01-25T07:54:31	0	2006-01-25T07:54:31	
SE	South East		2006-01-25T07:54:31	0	2006-01-25T07:54:31	
SW	South West		2006-01-25T07:54:31	0	2006-01-25T07:54:31	
W	Wales		2006-01-25T07:54:31	0	2006-01-25T07:54:31	
WM	West Midlands		2006-01-25T07:54:31	0	2006-01-25T07:54:31	
Y	Yorkshire		2006-01-25T07:54:31	0	2006-01-25T07:54:31	
